state,program,i,.,var,;,:=,read,write,if,then,else,while,do,+,-,*,int_l,:,Integer,Boolean,begin,end,>,>=,=,<=,<,TRUE,FALSE,$,prog,block,var_dec_sec,var_dec',assignment,read_stat,write_stat,struct_stat,conditional,conditional',while_loop,expr,arithmetic_expr,term,factor,l,var_dec,i',type,comp_stat,statement',statement,simple_stat,bool_expr,bool_l
69,,,,,r42,,,,,r42,r42,,r42,s64,s65,,,,,,,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,r43,,,,,r43,r43,,r43,s64,s65,,,,,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,r44,,,,,r44,r44,,r44,s64,s65,,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,r45,,,,,r45,r45,,r45,s64,s65,,,,,,,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,r46,,,,,r46,r46,,r46,s64,s65,,,,,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,r19,,,,,r19,r19,,r19,r19,r19,s66,,,,,,r19,r19,r19,r19,r19,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,r20,,,,,r20,r20,,r20,r20,r20,s66,,,,,,r20,r20,r20,r20,r20,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,r22,,,,,r22,r22,,r22,r22,r22,r22,,,,,,r22,r22,r22,r22,r22,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,r16,,,,,,r16,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,r13,,,,,,r13,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,s24,,,,,s25,s26,s27,,,s28,,,,,,,,,s7,,,,,,,,,,,,,,18,19,20,17,21,,22,,,,,,,,,23,,80,16,,
80,,,,,r14,,,,,,r14,,,,,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
